,index,speed
1417,14752,27
1418,14753,16
1419,14754,25
1420,14751,30
1421,14039,25
1422,14040,29
1423,14042,28
1424,14044,30
1425,14043,23
1426,14046,18
1427,14050,25
1428,14053,27
1429,14054,33
1430,14055,30
1431,14045,26
1432,14029,18
1433,14023,29
1434,14025,29
1435,14026,26
1436,14028,26
1437,14030,29
1438,14034,14
1439,14032,38
1440,14033,22
1441,14035,22
1442,14036,24
1443,14037,18
1444,14031,33
1445,13312,22
1446,13313,25
1447,13314,27
1448,13315,26
1449,13316,27
1450,13317,21
1451,13319,29
1452,13318,19
1453,13321,27
1454,13322,27
1455,13324,29
1456,13325,16
1457,13326,30
1458,13327,29
1459,13328,27
1460,13329,24
1461,13320,25
1462,12579,23
1463,12580,29
1464,12581,32
1465,12587,28
1466,12588,25
1467,12589,29
1468,12591,25
1469,12584,19
1470,12569,11
1471,12565,21
1472,12566,21
1473,12567,21
1474,12568,31
1475,12570,27
1476,12573,28
1477,12572,22
1478,12574,23
1479,12576,11
1480,12577,19
1481,12578,27
1482,12571,28
1483,11871,26
1484,11870,26
1485,11869,32
1486,11868,33
1487,11865,31
1488,11866,23
1489,11864,22
1490,11863,21
1491,11872,27
1492,11867,35
1493,11873,29
1494,11885,27
1495,11875,36
1496,11876,26
1497,11877,29
1498,11878,22
1499,11880,30
1500,11881,28
1501,11882,27
1502,11883,19
1503,11884,28
1504,11874,18
1505,11886,29
1506,11168,31
1507,11165,24
1508,11164,29
1509,11169,28
1510,11162,23
1511,11161,28
1512,11163,16
1513,11171,33
1514,11167,27
1515,11173,25
1516,11174,33
1517,11176,23
1518,11185,34
1519,11179,33
1520,11180,29
1521,11182,23
1522,11183,24
1523,11184,31
1524,11172,33
1525,11151,28
1526,11152,25
1527,11155,22
1528,11157,25
1529,11158,19
1530,11160,21
1531,11156,28
1532,10443,25
1533,10437,27
1534,10439,21
1535,10441,32
1536,10442,23
1537,10445,25
1538,10452,24
1539,10447,27
1540,10448,24
1541,10449,25
1542,10450,27
1543,10451,29
1544,10446,28
1545,10429,17
1546,10430,25
1547,10432,25
1548,10431,29
1549,10434,24
1550,10435,19
1551,10436,20
1552,10433,27
1553,9740,25
1554,9742,25
1555,9744,20
1556,9747,23
1557,9750,24
1558,9752,23
1559,9753,27
1560,9754,23
1561,9756,28
1562,9751,26
1563,9758,35
1564,9759,17
1565,9760,25
1566,9761,24
1567,9762,15
1568,9763,23
1569,9764,28
1570,9765,31
1571,9766,19
1572,9757,25
1573,9734,24
1574,9738,28
1575,9739,22
1576,9737,25
1577,9042,25
1578,9033,25
1579,9034,26
1580,9035,28
1581,9038,33
1582,9039,23
1583,9041,18
1584,9043,23
1585,9058,27
1586,9046,24
1587,9047,23
1588,9048,26
1589,9052,27
1590,9053,28
1591,9054,23
1592,9057,34
1593,9044,28
1594,9022,25
1595,9023,28
1596,9024,27
1597,9026,17
1598,9021,27
1599,9028,27
1600,9029,16
1601,9031,20
1602,9032,20
1603,9027,25
1604,8291,22
1605,8288,35
1606,8271,21
1607,8270,17
1608,8269,25
1609,8268,22
1610,8267,23
1611,8263,31
1612,8265,24
1613,8264,27
1614,8262,27
1615,8261,25
1616,8272,27
1617,8266,31
1618,8273,23
1619,8275,29
1620,8285,25
1621,8276,26
1622,8277,28
1623,8278,14
1624,8279,20
1625,8280,34
1626,8281,29
1627,8282,27
1628,8283,25
1629,8284,23
1630,8287,25
1631,8286,19
1632,8274,24
1633,7580,20
1634,7582,28
1635,7589,29
1636,7592,25
1637,7591,22
1638,7563,21
1639,7562,23
1640,7561,25
1641,7560,23
1642,7564,26
1643,7557,33
1644,7556,21
1645,7554,31
1646,7553,27
1647,7559,27
1648,7565,26
1649,7572,33
1650,7567,23
1651,7578,20
1652,7577,18
1653,7576,31
1654,7575,23
1655,7574,18
1656,7566,19
1657,7571,25
1658,7570,22
1659,7569,35
1660,7568,25
1661,7573,27
1662,6861,25
1663,6860,25
1664,6859,31
1665,6858,30
1666,6857,26
1667,6856,23
1668,6854,23
1669,6853,20
1670,6852,23
1671,6851,27
1672,6862,26
1673,6849,14
1674,6855,20
1675,6850,27
1676,6867,38
1677,6868,13
1678,6881,18
1679,6880,27
1680,6864,18
1681,6878,29
1682,6877,28
1683,6876,24
1684,6879,23
1685,6874,23
1686,6873,25
1687,6872,22
1688,6871,22
1689,6870,23
1690,6869,25
1691,6875,23
1692,6171,34
1693,6170,28
1694,6150,24
1695,6151,27
1696,6155,12
1697,6152,15
1698,6153,36
1699,6154,26
1700,6156,27
1701,6163,23
1702,6158,30
1703,6165,24
1704,6164,30
1705,6162,24
1706,6157,27
1707,6160,20
1708,6159,20
1709,6161,30
