,index,speed,time
416,40810,30,2023-09-06T03:01:03.000
417,40813,25,2023-09-06T03:01:03.000
418,40801,29,2023-09-06T03:01:03.000
419,40638,27,2023-09-06T03:10:16.000
420,40631,24,2023-09-06T03:10:16.000
421,40633,34,2023-09-06T03:10:16.000
422,40634,27,2023-09-06T03:10:16.000
423,40642,27,2023-09-06T03:10:16.000
424,40656,22,2023-09-06T03:10:16.000
425,40645,33,2023-09-06T03:10:16.000
426,40649,30,2023-09-06T03:10:16.000
427,40654,32,2023-09-06T03:10:16.000
428,40655,25,2023-09-06T03:10:16.000
429,40643,31,2023-09-06T03:10:16.000
430,40536,34,2023-09-06T03:20:35.000
431,40525,33,2023-09-06T03:20:35.000
432,40527,38,2023-09-06T03:20:35.000
433,40529,39,2023-09-06T03:20:35.000
434,40533,25,2023-09-06T03:20:35.000
435,40535,23,2023-09-06T03:20:35.000
436,40538,35,2023-09-06T03:20:35.000
437,40553,25,2023-09-06T03:20:35.000
438,40542,26,2023-09-06T03:20:35.000
439,40544,30,2023-09-06T03:20:35.000
440,40545,26,2023-09-06T03:20:35.000
441,40549,31,2023-09-06T03:20:35.000
442,40550,37,2023-09-06T03:20:35.000
443,40551,27,2023-09-06T03:20:35.000
444,40541,31,2023-09-06T03:20:35.000
445,40378,21,2023-09-06T03:30:49.000
446,40388,26,2023-09-06T03:30:49.000
447,40390,33,2023-09-06T03:30:49.000
448,40394,36,2023-09-06T03:30:49.000
449,40403,30,2023-09-06T03:30:49.000
450,40405,9,2023-09-06T03:30:49.000
451,40406,30,2023-09-06T03:30:49.000
452,40416,27,2023-09-06T03:30:49.000
453,40417,22,2023-09-06T03:30:49.000
454,40192,30,2023-09-06T03:40:02.000
455,40195,28,2023-09-06T03:40:02.000
456,40197,27,2023-09-06T03:40:02.000
457,40201,29,2023-09-06T03:40:02.000
458,40205,38,2023-09-06T03:40:02.000
459,40196,31,2023-09-06T03:40:02.000
460,40208,34,2023-09-06T03:40:02.000
461,40213,27,2023-09-06T03:40:02.000
462,40215,29,2023-09-06T03:40:02.000
463,40221,37,2023-09-06T03:40:02.000
464,40222,25,2023-09-06T03:40:02.000
465,40206,27,2023-09-06T03:40:02.000
466,40029,25,2023-09-06T03:50:17.000
467,40031,30,2023-09-06T03:50:17.000
468,40035,31,2023-09-06T03:50:17.000
469,40040,32,2023-09-06T03:50:17.000
470,40041,33,2023-09-06T03:50:17.000
471,40042,24,2023-09-06T03:50:17.000
472,40043,34,2023-09-06T03:50:17.000
473,40046,25,2023-09-06T03:50:17.000
474,40049,29,2023-09-06T03:50:17.000
475,40050,35,2023-09-06T03:50:17.000
476,40051,22,2023-09-06T03:50:17.000
477,40053,36,2023-09-06T03:50:17.000
478,40055,30,2023-09-06T03:50:17.000
479,40065,32,2023-09-06T03:50:17.000
480,40067,35,2023-09-06T03:50:17.000
481,40047,27,2023-09-06T03:50:17.000
482,39819,34,2023-09-06T04:01:04.000
483,39825,30,2023-09-06T04:01:04.000
484,39826,27,2023-09-06T04:01:04.000
485,39832,34,2023-09-06T04:01:04.000
486,39836,30,2023-09-06T04:01:04.000
487,39828,31,2023-09-06T04:01:04.000
488,39849,26,2023-09-06T04:01:04.000
489,39843,29,2023-09-06T04:01:04.000
490,39862,36,2023-09-06T04:01:04.000
491,39857,30,2023-09-06T04:01:04.000
492,39853,20,2023-09-06T04:01:04.000
493,39850,27,2023-09-06T04:01:04.000
494,39854,35,2023-09-06T04:01:04.000
495,39603,25,2023-09-06T04:10:17.000
496,39599,26,2023-09-06T04:10:17.000
497,39584,28,2023-09-06T04:10:17.000
498,39583,25,2023-09-06T04:10:17.000
499,39577,26,2023-09-06T04:10:17.000
500,39301,31,2023-09-06T04:20:38.000
501,39302,30,2023-09-06T04:20:38.000
502,39303,27,2023-09-06T04:20:38.000
503,39306,24,2023-09-06T04:20:38.000
504,39314,25,2023-09-06T04:20:38.000
505,39317,20,2023-09-06T04:20:38.000
506,39319,29,2023-09-06T04:20:38.000
507,39321,29,2023-09-06T04:20:38.000
508,39311,25,2023-09-06T04:20:38.000
509,39289,25,2023-09-06T04:20:39.000
510,39287,24,2023-09-06T04:20:39.000
511,39293,27,2023-09-06T04:20:39.000
512,39300,34,2023-09-06T04:20:39.000
513,39298,31,2023-09-06T04:20:39.000
514,39299,18,2023-09-06T04:20:39.000
515,39296,28,2023-09-06T04:20:39.000
516,38959,39,2023-09-06T04:30:51.000
517,38919,33,2023-09-06T04:30:52.000
518,38907,31,2023-09-06T04:30:52.000
519,38912,35,2023-09-06T04:30:52.000
520,38915,27,2023-09-06T04:30:52.000
521,38916,24,2023-09-06T04:30:52.000
522,38918,29,2023-09-06T04:30:52.000
523,38920,29,2023-09-06T04:30:52.000
524,38924,29,2023-09-06T04:30:52.000
525,38925,25,2023-09-06T04:30:52.000
526,38926,22,2023-09-06T04:30:52.000
527,38927,29,2023-09-06T04:30:52.000
528,38928,27,2023-09-06T04:30:52.000
529,38929,27,2023-09-06T04:30:52.000
530,38930,0,2023-09-06T04:30:52.000
531,38935,20,2023-09-06T04:30:52.000
532,38923,33,2023-09-06T04:30:52.000
533,38547,0,2023-09-06T04:40:05.000
534,38539,20,2023-09-06T04:40:05.000
535,38540,18,2023-09-06T04:40:05.000
536,38541,23,2023-09-06T04:40:05.000
537,38542,29,2023-09-06T04:40:05.000
538,38543,28,2023-09-06T04:40:05.000
539,38544,26,2023-09-06T04:40:05.000
540,38551,15,2023-09-06T04:40:05.000
541,38548,25,2023-09-06T04:40:05.000
542,38554,29,2023-09-06T04:40:05.000
543,38555,19,2023-09-06T04:40:05.000
544,38557,25,2023-09-06T04:40:05.000
545,38558,27,2023-09-06T04:40:05.000
546,38560,17,2023-09-06T04:40:05.000
547,38546,27,2023-09-06T04:40:05.000
548,38134,31,2023-09-06T04:50:20.000
549,38132,24,2023-09-06T04:50:20.000
550,38135,31,2023-09-06T04:50:20.000
551,38130,27,2023-09-06T04:50:20.000
552,38128,19,2023-09-06T04:50:20.000
553,38131,29,2023-09-06T04:50:20.000
554,38139,28,2023-09-06T04:50:20.000
555,38141,24,2023-09-06T04:50:20.000
556,38142,25,2023-09-06T04:50:20.000
557,38143,24,2023-09-06T04:50:20.000
558,38145,31,2023-09-06T04:50:20.000
559,38146,28,2023-09-06T04:50:20.000
560,38147,22,2023-09-06T04:50:20.000
561,38140,31,2023-09-06T04:50:20.000
562,38148,27,2023-09-06T04:50:20.000
563,37712,29,2023-09-06T05:01:08.000
564,37714,22,2023-09-06T05:01:08.000
565,37715,23,2023-09-06T05:01:08.000
566,37716,30,2023-09-06T05:01:08.000
567,37717,22,2023-09-06T05:01:08.000
568,37718,25,2023-09-06T05:01:08.000
569,37721,24,2023-09-06T05:01:08.000
570,37722,23,2023-09-06T05:01:08.000
571,37724,34,2023-09-06T05:01:08.000
572,37723,23,2023-09-06T05:01:08.000
573,37726,29,2023-09-06T05:01:08.000
574,37727,35,2023-09-06T05:01:08.000
575,37729,26,2023-09-06T05:01:08.000
576,37730,29,2023-09-06T05:01:08.000
